-12722284877629.43 -12722284877629.367 -12722284877629.281 -12722284877629.18 -12722284877629.252 -12722284877629.232 -12722284877629.305 -12722284877629.373 -12722284877629.449 -12722284877629.561 -12722284877629.605 -12722284877629.609 -12722284877629.572 -12722284877629.514 -12722284877629.602 -12722284877629.441 -12722284877629.371 
-12722284877629.365 -12722284877629.297 -12722284877629.227 -12722284877629.17 -12722284877629.17 -12722284877629.176 -12722284877629.213 -12722284877629.271 -12722284877629.355 -12722284877629.443 -12722284877629.5 -12722284877629.496 -12722284877629.461 -12722284877629.414 -12722284877629.387 -12722284877629.299 -12722284877629.221 
-12722284877629.289 -12722284877629.219 -12722284877629.148 -12722284877629.094 -12722284877629.07 -12722284877629.078 -12722284877629.088 -12722284877629.137 -12722284877629.246 -12722284877629.354 -12722284877629.445 -12722284877629.404 -12722284877629.35 -12722284877629.289 -12722284877629.225 -12722284877629.143 -12722284877629.062 
-12722284877629.246 -12722284877629.133 -12722284877629.045 -12722284877628.977 -12722284877628.93 -12722284877628.969 * * * * * -12722284877629.316 -12722284877629.234 -12722284877629.158 -12722284877629.076 -12722284877628.977 -12722284877628.836 
-12722284877629.141 -12722284877629.01 -12722284877628.912 -12722284877628.826 -12722284877628.695 * * * * * * * -12722284877629.111 -12722284877629.027 -12722284877628.941 -12722284877628.844 -12722284877628.74 
-12722284877628.932 -12722284877628.84 -12722284877628.76 -12722284877628.717 * * * * * * * * * -12722284877628.893 -12722284877628.818 -12722284877628.713 -12722284877628.605 
-12722284877628.746 -12722284877628.65 -12722284877628.566 * * * * * * * * * * * -12722284877628.723 -12722284877628.578 -12722284877628.471 
-12722284877628.541 -12722284877628.441 -12722284877628.348 * * * * * * * * * * * -12722284877628.533 -12722284877628.404 -12722284877628.289 
-12722284877628.322 -12722284877628.217 -12722284877628.107 * * * * * * * * * * * -12722284877628.359 -12722284877628.211 -12722284877628.086 
-12722284877628.096 -12722284877627.982 -12722284877627.832 * * * * * * * * * * * -12722284877628.131 -12722284877627.986 -12722284877627.857 
-12722284877627.887 -12722284877627.766 -12722284877627.512 * * * * * * * * * * * -12722284877627.793 -12722284877627.736 -12722284877627.6 
-12722284877627.797 -12722284877627.662 -12722284877627.498 -12722284877627.367 * * * * * * * * * -12722284877627.926 -12722284877627.676 -12722284877627.559 -12722284877627.566 
-12722284877627.666 -12722284877627.568 -12722284877627.434 -12722284877627.297 -12722284877627.143 * * * * * * * -12722284877627.949 -12722284877627.646 -12722284877627.412 -12722284877627.25 -12722284877627.172 
-12722284877627.684 -12722284877627.5 -12722284877627.352 -12722284877627.225 -12722284877627.115 -12722284877627.061 * * * * * -12722284877627.68 -12722284877627.512 -12722284877627.287 -12722284877627.062 -12722284877626.846 -12722284877626.623 
-12722284877627.572 -12722284877627.375 -12722284877627.23 -12722284877627.111 -12722284877627.01 -12722284877626.945 -12722284877626.912 -12722284877626.953 -12722284877627.084 -12722284877627.211 -12722284877627.379 -12722284877627.266 -12722284877627.113 -12722284877626.918 -12722284877626.693 -12722284877626.439 -12722284877626.084 
-12722284877627.258 -12722284877627.18 -12722284877627.064 -12722284877626.947 -12722284877626.85 -12722284877626.779 -12722284877626.744 -12722284877626.762 -12722284877626.826 -12722284877626.895 -12722284877626.943 -12722284877626.877 -12722284877626.742 -12722284877626.568 -12722284877626.346 -12722284877626.121 -12722284877625.934 
-12722284877627.088 -12722284877627.002 -12722284877626.881 -12722284877626.748 -12722284877626.641 -12722284877626.555 -12722284877626.506 -12722284877626.502 -12722284877626.547 -12722284877626.578 -12722284877626.607 -12722284877626.537 -12722284877626.391 -12722284877626.215 -12722284877625.986 -12722284877625.754 -12722284877625.553 
