467514734972.25909 467514734972.29132 467514734972.33862 467514734972.36188 467514734972.38885 467514734972.48175 467514734972.44922 467514734972.44922 467514734972.45123 467514734972.50854 467514734972.51978 467514734972.55188 467514734972.57617 467514734972.58258 467514734972.58459 467514734972.6004 467514734972.60931 467514734972.62634 467514734972.63672 467514734972.66943 467514734972.67084 467514734972.6861 467514734972.71985 467514734972.73706 467514734972.75525 467514734972.7951 467514734972.80127 467514734972.82703 467514734972.86798 467514734972.85938 467514734972.83545 467514734972.92786 467514734972.96704 
467514734972.29083 467514734972.32361 467514734972.36053 467514734972.39276 467514734972.42706 467514734972.47046 467514734972.48279 467514734972.49615 467514734972.5141 467514734972.5459 467514734972.56946 467514734972.59454 467514734972.61511 467514734972.62817 467514734972.63824 467514734972.65088 467514734972.66315 467514734972.67773 467514734972.69287 467514734972.71301 467514734972.72778 467514734972.74683 467514734972.77173 467514734972.79449 467514734972.81842 467514734972.8468 467514734972.86865 467514734972.89447 467514734972.92212 467514734972.93762 467514734972.95447 467514734973.0014 467514734973.04065 
467514734972.32007 467514734972.35382 467514734972.38928 467514734972.42371 467514734972.45825 467514734972.49243 467514734972.51746 467514734972.54065 467514734972.56537 467514734972.59363 467514734972.61987 467514734972.6441 467514734972.66382 467514734972.67889 467514734972.69147 467514734972.70392 467514734972.71674 467514734972.73071 467514734972.74597 467514734972.76404 467514734972.78253 467514734972.80359 467514734972.82758 467514734972.8526 467514734972.87891 467514734972.90674 467514734972.93365 467514734972.96155 467514734972.98975 467514734973.01587 467514734973.0448 467514734973.08362 467514734973.12524 
467514734972.34802 467514734972.38446 467514734972.42108 467514734972.45679 467514734972.49188 467514734972.52576 467514734972.55634 467514734972.58569 467514734972.61523 467514734972.64551 467514734972.67456 467514734972.70044 467514734972.71942 467514734972.73431 467514734972.74707 467514734972.75879 467514734972.77142 467514734972.78442 467514734972.79816 467514734972.81665 467514734972.83685 467514734972.8595 467514734972.88422 467514734972.91119 467514734972.9397 467514734972.96936 467514734972.99927 467514734973.02991 467514734973.06104 467514734973.09265 467514734973.12653 467514734973.16406 467514734973.20001 
467514734972.37036 467514734972.41718 467514734972.45593 467514734972.49261 467514734972.52899 467514734972.56451 467514734972.59888 467514734972.63281 467514734972.66669 467514734972.70093 467514734972.73474 467514734972.76593 467514734972.78137 467514734972.79413 467514734972.80591 467514734972.81494 467514734972.828 467514734972.8396 467514734972.84772 467514734972.86969 467514734972.89081 467514734972.91522 467514734972.94049 467514734972.97009 467514734973.00128 467514734973.03339 467514734973.06592 467514734973.09937 467514734973.13336 467514734973.1687 467514734973.20599 467514734973.24744 467514734973.29382 
467514734972.42981 467514734972.46021 467514734972.49524 467514734972.5318 467514734972.56915 467514734972.60675 467514734972.64447 467514734972.68213 467514734972.72009 467514734972.75909 467514734972.79993 467514734972.84973 467514734972.84851 467514734972.85767 * * * * * 467514734972.92584 467514734972.94501 467514734972.97223 467514734972.99438 467514734973.02924 467514734973.06403 467514734973.09882 467514734973.13385 467514734973.16943 467514734973.20593 467514734973.24329 467514734973.28265 467514734973.32703 467514734973.39099 
467514734972.47614 467514734972.50104 467514734972.53552 467514734972.57288 467514734972.61188 467514734972.65179 467514734972.69244 467514734972.73315 467514734972.77472 467514734972.81763 467514734972.85822 * * * * * * * * * * * 467514734973.03796 467514734973.091 467514734973.12933 467514734973.16614 467514734973.20288 467514734973.24036 467514734973.27863 467514734973.31738 467514734973.35553 467514734973.38824 467514734973.39453 
467514734972.4939 467514734972.53473 467514734972.57489 467514734972.6156 467514734972.65698 467514734972.69891 467514734972.74152 467514734972.7851 467514734972.83051 467514734972.88086 * * * * * * * * * * * * * 467514734973.16956 467514734973.19873 467514734973.23529 467514734973.27362 467514734973.31274 467514734973.3526 467514734973.39331 467514734973.43463 467514734973.47729 467514734973.52795 
467514734972.51971 467514734972.57147 467514734972.61676 467514734972.66022 467514734972.70374 467514734972.74786 467514734972.79236 467514734972.83722 467514734972.88367 * * * * * * * * * * * * * * * 467514734973.26288 467514734973.30548 467514734973.3454 467514734973.38599 467514734973.42743 467514734973.47028 467514734973.51416 467514734973.55981 467514734973.61096 
467514734972.56769 467514734972.61731 467514734972.66248 467514734972.70728 467514734972.7525 467514734972.79883 467514734972.8454 467514734972.89044 * * * * * * * * * * * * * * * * * 467514734973.38025 467514734973.41846 467514734973.45972 467514734973.50311 467514734973.5481 467514734973.59363 467514734973.63824 467514734973.67627 
467514734972.63574 467514734972.67029 467514734972.71124 467514734972.75586 467514734972.80273 467514734972.85193 467514734972.90277 * * * * * * * * * * * * * * * * * * * 467514734973.49036 467514734973.53296 467514734973.57941 467514734973.62726 467514734973.67609 467514734973.72491 467514734973.77795 
