-729425753670.59692 -729425753670.62793 -729425753670.67188 -729425753670.69238 -729425753670.7251 -729425753670.8988 -729425753670.75073 -729425753670.72034 -729425753670.69763 -729425753670.69629 -729425753670.69238 -729425753670.69019 -729425753670.66345 -729425753670.63684 -729425753670.59326 -729425753670.55432 -729425753670.51868 -729425753670.49231 -729425753670.43677 -729425753670.40198 -729425753670.37427 -729425753670.34131 -729425753670.32471 -729425753670.27539 -729425753670.23291 -729425753670.20386 -729425753670.16284 -729425753670.13989 -729425753670.12256 -729425753670.05188 -729425753669.93506 -729425753669.96887 -729425753669.94238 
-729425753670.62793 -729425753670.65894 -729425753670.69312 -729425753670.72314 -729425753670.75867 -729425753670.80957 -729425753670.77966 -729425753670.75903 -729425753670.74402 -729425753670.73584 -729425753670.72729 -729425753670.71533 -729425753670.69299 -729425753670.66455 -729425753670.62854 -729425753670.59045 -729425753670.55237 -729425753670.51514 -729425753670.47205 -729425753670.43481 -729425753670.40173 -729425753670.36963 -729425753670.34033 -729425753670.30334 -729425753670.26685 -729425753670.23364 -729425753670.19897 -729425753670.16785 -729425753670.13416 -729425753670.08337 -729425753670.02576 -729425753670.00439 -729425753669.97339 
-729425753670.65186 -729425753670.68286 -729425753670.7146 -729425753670.74438 -729425753670.77295 -729425753670.797 -729425753670.79541 -729425753670.78796 -729425753670.77966 -729425753670.77173 -729425753670.76172 -729425753670.74695 -729425753670.72473 -729425753670.69617 -729425753670.66199 -729425753670.6228 -729425753670.58142 -729425753670.53992 -729425753670.49756 -729425753670.45947 -729425753670.42432 -729425753670.39111 -729425753670.35974 -729425753670.3269 -729425753670.2937 -729425753670.26099 -729425753670.22778 -729425753670.19446 -729425753670.15869 -729425753670.11755 -729425753670.07617 -729425753670.04565 -729425753670.02051 
-729425753670.67041 -729425753670.70215 -729425753670.73413 -729425753670.76294 -729425753670.78772 -729425753670.80603 -729425753670.81311 -729425753670.81372 -729425753670.81091 -729425753670.80566 -729425753670.79675 -729425753670.78223 -729425753670.75867 -729425753670.72974 -729425753670.69666 -729425753670.6532 -729425753670.60681 -729425753670.56165 -729425753670.51489 -729425753670.47729 -729425753670.44104 -729425753670.40698 -729425753670.37671 -729425753670.3468 -729425753670.31616 -729425753670.28491 -729425753670.25269 -729425753670.2196 -729425753670.18469 -729425753670.14807 -729425753670.11169 -729425753670.07764 -729425753670.03748 
-729425753670.67053 -729425753670.71729 -729425753670.75293 -729425753670.78149 -729425753670.80518 -729425753670.82263 -729425753670.83325 -729425753670.83899 -729425753670.8407 -729425753670.83911 -729425753670.8335 -729425753670.82239 -729425753670.79407 -729425753670.76331 -729425753670.73792 -729425753670.68237 -729425753670.62708 -729425753670.58093 -729425753670.51929 -729425753670.48975 -729425753670.45166 -729425753670.41528 -729425753670.38928 -729425753670.36353 -729425753670.33545 -729425753670.30591 -729425753670.27466 -729425753670.24255 -729425753670.2085 -729425753670.17444 -729425753670.14111 -729425753670.11157 -729425753670.08936 
-729425753670.68579 -729425753670.73975 -729425753670.77478 -729425753670.80188 -729425753670.82434 -729425753670.84216 -729425753670.85559 -729425753670.86475 -729425753670.86987 -729425753670.87219 -729425753670.87207 -729425753670.87598 -729425753670.82751 -729425753670.78748 * * * * * -729425753670.50696 -729425753670.45862 -729425753670.40955 -729425753670.39771 -729425753670.37878 -729425753670.35339 -729425753670.32471 -729425753670.29407 -729425753670.26172 -729425753670.22852 -729425753670.19507 -729425753670.16296 -729425753670.13428 -729425753670.11255 
-729425753670.77124 -729425753670.77734 -729425753670.80005 -729425753670.82336 -729425753670.84485 -729425753670.8634 -729425753670.87866 -729425753670.88989 -729425753670.89807 -729425753670.90417 -729425753670.90222 * * * * * * * * * * * -729425753670.41016 -729425753670.39685 -729425753670.37097 -729425753670.34167 -729425753670.31042 -729425753670.27759 -729425753670.24402 -729425753670.21045 -729425753670.17761 -729425753670.146 -729425753670.11609 
-729425753670.76367 -729425753670.79443 -729425753670.82019 -729425753670.84375 -729425753670.86536 -729425753670.88477 -729425753670.90137 -729425753670.91504 -729425753670.92554 -729425753670.94067 * * * * * * * * * * * * * -729425753670.42395 -729425753670.38928 -729425753670.3562 -729425753670.32336 -729425753670.28967 -729425753670.25513 -729425753670.22046 -729425753670.18604 -729425753670.15186 -729425753670.11877 
-729425753670.78516 -729425753670.8125 -729425753670.83838 -729425753670.8623 -729425753670.88477 -729425753670.90576 -729425753670.92432 -729425753670.93921 -729425753670.94495 * * * * * * * * * * * * * * * -729425753670.40222 -729425753670.36719 -729425753670.33313 -729425753670.29834 -729425753670.26245 -729425753670.22668 -729425753670.19031 -729425753670.15283 -729425753670.11536 
-729425753670.80103 -729425753670.828 -729425753670.85364 -729425753670.87842 -729425753670.90198 -729425753670.92517 -729425753670.94739 -729425753670.96912 * * * * * * * * * * * * * * * * * -729425753670.37329 -729425753670.34009 -729425753670.30383 -729425753670.26709 -729425753670.23035 -729425753670.19238 -729425753670.1499 -729425753670.09216 
-729425753670.8092 -729425753670.84082 -729425753670.86584 -729425753670.89075 -729425753670.91553 -729425753670.94092 -729425753670.96704 * * * * * * * * * * * * * * * * * * * -729425753670.34607 -729425753670.30469 -729425753670.26782 -729425753670.23132 -729425753670.19507 -729425753670.1582 -729425753670.12756 
-729425753670.85889 -729425753670.85657 -729425753670.87415 -729425753670.89783 -729425753670.92432 -729425753670.9519 * * * * * * * * * * * * * * * * * * * * * -729425753670.297 -729425753670.26306 -729425753670.22815 -729425753670.19336 -729425753670.15625 -729425753670.10986 
-729425753670.82117 -729425753670.84863 -729425753670.87256 -729425753670.89856 -729425753670.92798 -729425753670.96863 * * * * * * * * * * * * * * * * * * * * * -729425753670.28784 -729425753670.25476 -729425753670.22217 -729425753670.19043 -729425753670.15967 -729425753670.13623 
-729425753670.8208 -729425753670.84045 -729425753670.86511 -729425753670.8916 -729425753670.91675 -729425753670.92749 * * * * * * * * * * * * * * * * * * * * * -729425753670.27124 -729425753670.24207 -729425753670.21179 -729425753670.18152 -729425753670.15186 -729425753670.12659 
-729425753670.79089 -729425753670.82324 -729425753670.85205 -729425753670.88184 -729425753670.91602 * * * * * * * * * * * * * * * * * * * * * * * -729425753670.22668 -729425753670.19727 -729425753670.16736 -729425753670.13574 -729425753670.10095 
-729425753670.77783 -729425753670.80554 -729425753670.83398 -729425753670.86279 -729425753670.89185 * * * * * * * * * * * * * * * * * * * * * * * -729425753670.20557 -729425753670.17932 -729425753670.151 -729425753670.11865 -729425753670.07739 
-729425753670.75256 -729425753670.7832 -729425753670.81226 -729425753670.8396 -729425753670.86072 * * * * * * * * * * * * * * * * * * * * * * * -729425753670.17944 -729425753670.15967 -729425753670.13489 -729425753670.10669 -729425753670.07678 
-729425753670.72986 -729425753670.75854 -729425753670.78833 -729425753670.81885 -729425753670.84863 * * * * * * * * * * * * * * * * * * * * * * * -729425753670.15979 -729425753670.14099 -729425753670.11829 -729425753670.09253 -729425753670.07251 
-729425753670.7063 -729425753670.72876 -729425753670.75977 -729425753670.79492 -729425753670.84375 * * * * * * * * * * * * * * * * * * * * * * * -729425753670.13184 -729425753670.12256 -729425753670.10083 -729425753670.06885 -729425753670.01868 
-729425753670.62561 -729425753670.6864 -729425753670.72314 -729425753670.75342 -729425753670.77966 -729425753670.78809 * * * * * * * * * * * * * * * * * * * * * -729425753670.15283 -729425753670.13 -729425753670.11267 -729425753670.08972 -729425753670.05933 -729425753670.01697 
-729425753670.65442 -729425753670.66431 -729425753670.68884 -729425753670.71204 -729425753670.72949 -729425753670.73499 * * * * * * * * * * * * * * * * * * * * * -729425753670.11536 -729425753670.11853 -729425753670.10449 -729425753670.08276 -729425753670.05762 -729425753670.0387 
-729425753670.57678 -729425753670.62366 -729425753670.65222 -729425753670.67358 -729425753670.68762 -729425753670.69092 * * * * * * * * * * * * * * * * * * * * * -729425753670.13782 -729425753670.12036 -729425753670.09985 -729425753670.07507 -729425753670.04565 -729425753670.00781 
-729425753670.58289 -729425753670.59741 -729425753670.61804 -729425753670.63745 -729425753670.65259 -729425753670.66516 -729425753670.68518 * * * * * * * * * * * * * * * * * * * -729425753670.18469 -729425753670.14795 -729425753670.12122 -729425753670.09558 -729425753670.06799 -729425753670.03809 -729425753670.01074 
-729425753670.54224 -729425753670.56091 -729425753670.58142 -729425753670.60071 -729425753670.61609 -729425753670.62793 -729425753670.63501 -729425753670.62561 * * * * * * * * * * * * * * * * * -729425753670.19275 -729425753670.17236 -729425753670.14441 -729425753670.11707 -729425753670.08923 -729425753670.05908 -729425753670.02417 -729425753669.98804 
