0, NoCircle, Dirichlet, 8, (0.0001780724341410862, 0.00025250913649569245, 0.0005369806601538407)
0, NoCircle, Dirichlet, 16, (5.126186364407846e-05, 6.714576218939327e-05, 0.00013759499938004183)
0, NoCircle, Dirichlet, 32, (1.369478523224788e-05, 1.7313951395210675e-05, 3.4450248152406715e-05)
0, NoCircle, Dirichlet, 64, (3.5357502524821193e-06, 4.396262527706744e-06, 8.624141106583494e-06)
0, NoCircle, Neumann, 8, (46393550637829.984, 46393550637829.98, 46393550637830.555)
0, NoCircle, Neumann, 16, (17502059279618.99, 17502059279618.988, 17502059279620.094)
0, NoCircle, Neumann, 32, (2002409611105.7778, 2002409611105.7776, 2002409611106.5613)
0, NoCircle, Neumann, 64, (25711098476.296753, 25711098476.296753, 25711098476.331856)
0, HasCircle, Dirichlet, 8, (3.615358804940514e-06, 1.2441788381414137e-05, 6.142200059811032e-05)
0, HasCircle, Dirichlet, 16, (1.6403538993976607e-06, 3.664488460766161e-06, 1.7289032268497095e-05)
0, HasCircle, Dirichlet, 32, (5.14777802612619e-07, 1.0005040339173419e-06, 4.401261369135767e-06)
0, HasCircle, Dirichlet, 64, (1.515758267198137e-07, 2.7542960961675707e-07, 1.1365362748705365e-06)
0, HasCircle, DirichletNeumann, 8, (0.0026218634474121983, 0.007250723641409668, 0.039813488761569094)
0, HasCircle, DirichletNeumann, 16, (0.001156471968411969, 0.0029629000616912724, 0.017913850163853606)
0, HasCircle, DirichletNeumann, 32, (0.000549912123345129, 0.0013572943502935622, 0.008654450402067582)
0, HasCircle, DirichletNeumann, 64, (0.00026950284129243575, 0.0006507889393863631, 0.004182070769884305)
0, HasCircle, NeumannDirichlet, 8, (0.012378195723594432, 0.03000272124630528, 0.13030805622267572)
0, HasCircle, NeumannDirichlet, 16, (0.005585250994286589, 0.013586273288098517, 0.06827370573761726)
0, HasCircle, NeumannDirichlet, 32, (0.0027595404535631475, 0.006641433097768627, 0.03529614596289221)
0, HasCircle, NeumannDirichlet, 64, (0.0014419909383826133, 0.0033960394827241783, 0.018183555363967763)
0, HasCircle, Neumann, 8, (nan, nan, nan)
0, HasCircle, Neumann, 16, (8452175420433.038, 10369714727728.025, 12722284877632.18)
0, HasCircle, Neumann, 32, (295362844499.50916, 371599895003.2592, 467514734971.31335)
0, HasCircle, Neumann, 64, (15257702616.189165, 19287315165.790443, 24381162463.527737)
1, NoCircle, Dirichlet, 8, (7.17391059461119e-16, 1.4103768737771023e-15, 6.6058269965196814e-15)
1, NoCircle, Dirichlet, 16, (7.0591521157044874e-15, 1.5907787670745314e-14, 1.2573275753879898e-13)
1, NoCircle, Dirichlet, 32, (3.3383733699642336e-14, 7.824898243039703e-14, 1.5535905895092128e-12)
